zoneID,zoneName,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
16,Within Kabul,0.18,0.18,0.66,0.98,1.00,1.00,0.90,0.90,0.00,0.02
17,Within Kabul,0.30,0.30,0.53,1.00,0.90,0.99,0.92,0.77,0.00,0.15
18,Within Kabul,1.00,0.90,0.88,0.67,0.60,0.56,0.53,0.44,0.00,0.03
19,Within Kabul,0.60,1.00,0.87,0.69,0.82,0.58,0.56,0.25,0.00,0.23
20,Within Kabul,0.95,0.93,1.00,0.84,0.79,0.75,0.75,0.63,0.11,0.00
22,Within Kabul,1.00,0.07,0.12,0.07,0.15,0.11,0.11,0.02,0.00,0.03
80,In Mazār-e Sharīf,0.50,0.97,1.00,0.88,0.55,0.49,0.75,0.24,0.00,0.23
83,Camp Marmal,0.95,0.80,0.59,0.61,0.48,0.80,0.75,0.39,0.00,0.05
85,In Mazār-e Sharīf,0.00,0.30,0.18,0.03,0.23,0.38,0.52,0.90,0.55,1.00
86,Close to Kundûz,0.92,0.57,0.54,0.74,0.77,0.92,0.49,0.01,0.00,0.41
87,Close to Kundûz,0.28,0.44,1.00,0.73,0.77,0.16,0.51,0.30,0.00,0.06
89,In Mazār-e Sharīf,1.00,0.60,0.70,0.58,0.49,0.02,0.41,0.37,0.02,0.08
116,Middle of nowhere,1.00,0.60,0.60,0.36,0.11,0.26,0.36,0.12,0.00,0.00
121,Bagram Airbase,0.92,0.78,0.74,0.78,0.84,0.89,0.95,0.51,0.04,0.00
138,Within Kabul,0.41,0.21,0.41,0.50,0.38,0.00,1.00,0.72,0.65,0.45
141,Within Kabul,0.33,0.45,0.45,1.00,0.77,0.32,0.12,0.25,0.10,0.02
145,FOB Gamberi,0.79,0.96,0.94,0.94,0.89,0.83,0.14,0.10,0.00,0.02
155,Within Kabul,0.14,0.00,0.17,0.13,0.55,0.93,0.88,0.69,0.30,0.25
160,Within Kabul,0.00,0.40,0.35,0.43,0.58,0.63,1.00,0.38,0.23,0.20
161,On the way to Kabul,1.00,0.74,0.28,0.45,0.61,0.66,0.55,0.35,0.00,0.10
163,Operating Base Fenty,0.33,0.35,0.29,0.57,0.96,0.95,0.70,0.39,0.18,0.00
168,On the way to OB Fenty,0.35,0.30,0.95,1.00,0.94,0.60,0.00,0.01,0.00,0.02
171,Herat Airport,0.29,0.29,0.96,1.00,0.66,0.55,0.25,0.22,0.00,0.14
172,Herat Airport,0.00,1.00,0.71,0.71,0.94,0.85,0.49,0.58,0.59,0.48
173,Herat Airport,1.00,0.40,0.25,0.17,0.01,0.00,0.03,0.31,0.40,0.31
175,On the way to Herat,1.00,0.00,0.16,0.36,0.48,0.40,0.38,0.27,0.08,0.21
191,Close to Gardēz,0.51,0.06,0.02,1.00,0.64,0.68,0.46,0.25,0.00,0.33
194,Close to Gardēz,1.00,0.01,0.00,0.22,0.76,0.64,0.21,0.11,0.02,0.51
199,Cshindand Airbase,1.00,0.00,0.01,0.03,0.04,0.01,0.01,0.01,0.01,0.02
200,Cshindand Airbase,1.00,0.09,0.28,0.28,0.25,0.07,0.03,0.01,0.00,0.00
201,Cshindand Airbase,1.00,0.00,0.05,0.45,0.44,0.17,0.03,0.03,0.01,0.02
209,Close to Tarinkot,1.00,0.43,0.41,0.35,0.26,0.02,0.02,0.02,0.00,0.00
215,Close toQalāt,1.00,0.23,0.29,0.33,0.47,0.45,0.42,0.29,0.00,0.01
218,On the way to Camp Shorabak,1.00,0.00,0.00,0.02,0.01,0.01,0.03,0.03,0.02,0.02
219,Camp Shorabak,0.31,0.83,0.66,1.00,0.66,0.04,0.09,0.09,0.00,0.01
220,Close to Gereshk,0.16,0.11,0.00,0.72,0.64,0.64,0.66,0.74,0.84,1.00
221,Camp Shorabak,1.00,0.23,0.18,0.18,0.10,0.11,0.09,0.08,0.00,0.00
228,In Kandahar,0.43,0.39,0.47,0.64,0.84,1.00,0.99,0.41,0.00,0.31
232,Close to Lashkar Gah,0.04,0.03,0.00,0.08,1.00,0.91,0.51,0.12,0.16,0.89
234,On the way to Kandahar,0.12,0.20,1.00,0.36,0.25,0.03,0.04,0.03,0.00,0.01
235,On the way to Kandahar,1.00,0.03,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.02
236,On the way to Kandahar,1.00,0.11,0.00,0.04,0.33,0.50,0.55,0.38,0.16,0.23
238,Close to Lashkar Gah,0.02,0.00,0.07,0.14,1.00,0.70,0.51,0.51,0.09,0.17
239,Kandahar Airfield,0.62,0.49,0.48,0.87,1.00,0.55,0.44,0.76,0.00,0.38
241,Kandahar Airfield,0.90,0.81,0.85,0.87,0.78,0.78,0.69,0.08,0.01,0.00
243,Middle of nowhere,0.00,0.02,0.56,0.81,0.69,1.00,0.70,0.67,0.51,0.69
255,Camp Dwyer (and Dwyer Airport),1.00,0.09,0.02,0.02,0.02,0.59,0.83,0.51,0.00,0.01
257,Camp Dwyer (and Dwyer Airport),1.00,0.72,0.50,0.05,0.05,0.77,0.60,0.15,0.00,0.01
258,Camp Dwyer (and Dwyer Airport),0.87,0.86,0.81,0.45,0.40,0.94,0.93,0.12,0.00,0.00
259,Camp Dwyer (and Dwyer Airport),1.00,0.19,0.02,0.04,0.27,0.07,0.06,0.04,0.00,0.00
260,Near border,1.00,0.03,0.00,0.07,0.07,0.06,0.08,0.08,0.09,0.12
264,Middle of nowhere,0.76,0.16,0.00,0.60,0.48,0.43,0.65,0.79,0.94,1.00
